Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,OKC,NBA,SG,76,0,1738,233,578,.403,93,248,.375,140,330,.424,.484,194,240,.808,47,197,244,137,80,20,106,200,753
2010-11,21,OKC,NBA,SG,82,5,2189,298,684,.436,113,324,.349,185,360,.514,.518,289,343,.843,42,213,255,176,92,24,106,207,998
2011-12,22,OKC,NBA,SG,62,2,1946,309,629,.491,114,292,.390,195,337,.579,.582,312,369,.846,30,222,252,229,62,15,137,150,1044
2012-13,23,HOU,NBA,SG,78,78,2985,585,1337,.438,179,486,.368,406,851,.477,.504,674,792,.851,62,317,379,455,142,38,295,178,2023
2013-14,24,HOU,NBA,SG,73,73,2777,549,1205,.456,177,483,.366,372,722,.515,.529,576,665,.866,61,283,344,446,115,29,265,177,1851
2014-15,25,HOU,NBA,SG,81,81,2981,647,1470,.440,208,555,.375,439,915,.480,.511,715,824,.868,75,384,459,565,154,60,321,208,2217
2015-16,26,HOU,NBA,SG,82,82,3125,710,1617,.439,236,657,.359,474,960,.494,.512,720,837,.860,63,438,501,612,139,51,374,229,2376
